Question,Category,Total antibody positive_r1,Total tests (with valid results)_r1,Crude prevalence_r1,Prevalence adjusted for test_r1,Weighted prevalence_r1,Total antibody positive_r2,Total tests (with valid results)_r2,Crude prevalence_r2,Prevalence adjusted for test_r2,Weighted prevalence_r2,Total antibody positive_r3,Total tests (with valid results)_r3,Crude prevalence_r3,Prevalence adjusted for test_r3,Weighted prevalence_r3,percent_diff_unweighted12,percent_diff_weighted12,percent_diff_unweighted23,percent_diff_weighted23,percent_diff_unweighted13,percent_diff_weighted13
age_group_broad,65+,801,21953,3.65 [3.41-3.90],2.71 [2.42-3.02],3.23 [2.92-3.55],798,25306,3.15 [2.95-3.38],2.11 [1.86-2.38],2.24 [1.98-2.52],1129,38432,2.94 [2.77-3.11],1.85 [1.65-2.06],2.14 [1.93-2.36],"-22.14 [-32.10, -12.18]","-30.65 [-39.32, -21.98]","-11.85 [-22.75, -0.95]","-4.46 [-15.18, 6.25]","-26.32 [-34.06, -18.58]","-33.75 [-41.80, -25.70]"
age_group_very_broad,18-34,1393,19865,7.01 [6.67-7.38],6.76 [6.34-7.20],7.84 [7.47-8.23],1186,20066,5.91 [5.59-6.25],5.43 [5.05-5.84],6.43 [6.10-6.78],1610,28975,5.56 [5.30-5.83],5.01 [4.70-5.33],5.75 [5.49-6.02],"-19.67 [-25.59, -13.76]","-17.98 [-22.45, -13.52]","-7.73 [-14.18, -1.29]","-10.58 [-15.24, -5.91]","-22.32 [-27.04, -17.60]","-26.66 [-30.74, -22.58]"
age_group_very_broad,35-64,3350,58090,5.77 [5.58-5.96],5.26 [5.04-5.49],6.15 [5.89-6.42],3011,60457,4.98 [4.81-5.16],4.31 [4.11-4.53],5.12 [4.88-5.36],4298,91960,4.67 [4.54-4.81],3.94 [3.78-4.11],4.65 [4.46-4.84],"-18.25 [-22.24, -14.26]","-16.91 [-20.98, -12.85]","-8.58 [-12.76, -4.41]","-9.18 [-13.28, -5.08]","-21.63 [-24.72, -18.54]","-24.55 [-28.13, -20.98]"
age_group_very_broad,65+,801,21953,3.65 [3.41-3.90],2.71 [2.42-3.02],3.23 [2.92-3.55],798,25306,3.15 [2.95-3.38],2.11 [1.86-2.38],2.24 [1.98-2.52],1129,38432,2.94 [2.77-3.11],1.85 [1.65-2.06],2.14 [1.93-2.36],"-22.14 [-32.10, -12.18]","-30.65 [-39.32, -21.98]","-11.85 [-22.75, -0.95]","-4.46 [-15.18, 6.25]","-26.32 [-34.06, -18.58]","-33.75 [-41.80, -25.70]"
household_type,Single,191,5943,3.21 [2.79-3.69],2.19 [1.68-2.76],2.63 [2.14-3.19],230,7189,3.20 [2.82-3.63],2.17 [1.71-2.69],2.06 [1.62-2.57],305,10754,2.84 [2.54-3.17],1.73 [1.37-2.13],2.01 [1.65-2.41],"-0.46 [-23.29, 22.37]","-22.05 [-40.68, -3.42]","-20.28 [-40.09, -0.46]","-2.43 [-22.82, 17.96]","-17.11 [-34.22, 0.00]","-23.95 [-41.06, -6.84]"
household_type,Two older adults,386,11219,3.44 [3.12-3.79],2.46 [2.07-2.88],2.98 [2.56-3.43],348,12839,2.71 [2.44-3.01],1.58 [1.26-1.93],1.57 [1.23-1.94],512,19629,2.61 [2.39-2.84],1.46 [1.20-1.74],1.56 [1.28-1.86],"-35.77 [-50.41, -21.14]","-47.32 [-60.40, -34.23]","-7.59 [-26.58, 11.39]","-1.27 [-21.02, 18.47]","-33.56 [-44.97, -22.15]","-47.99 [-60.07, -35.91]"
household_type,Multi-generational (no children),110,2206,4.99 [4.15-5.98],4.32 [3.32-5.51],5.53 [4.46-6.78],100,2393,4.18 [3.45-5.06],3.35 [2.47-4.41],4.15 [3.19-5.28],158,3702,4.27 [3.66-4.97],3.46 [2.73-4.30],4.36 [3.56-5.28],"-22.69 [-46.06, 0.69]","-25.14 [-44.48, -5.79]","3.28 [-22.39, 28.96]","5.30 [-17.11, 27.71]","-15.73 [-32.55, 1.08]","-21.16 [-39.06, -3.25]"
household_type,Multi-generational (with children,29,389,7.46 [5.24-10.50],7.30 [4.63-10.97],8.07 [5.40-11.64],31,420,7.38 [5.25-10.29],7.21 [4.64-10.71],7.25 [4.73-10.64],34,594,5.72 [4.12-7.89],5.21 [3.28-7.82],5.81 [3.84-8.42],"-1.37 [-42.47, 39.73]","-10.16 [-46.59, 26.27]","-27.74 [-63.66, 8.18]","-19.86 [-55.17, 15.45]","-26.02 [-58.98, 6.94]","-28.00 [-60.84, 4.83]"
household_type,Three or more older adults,0,61,0.00 [0.00-4.25],0.00 [0.00-3.43],0.00 [0.00-2.92],1,56,1.79 [0.32-9.45],0.46 [0.00-9.69],0.00 [0.00-3.77],0,84,0.00 [0.00-3.12],0.00 [0.00-2.07],0.00 [0.00-2.25],"Inf [-Inf, Inf]","NaN [NaN, NaN]","-469.57 [-1095.65, 156.52]","NaN [NaN, NaN]","NaN [NaN, NaN]","NaN [NaN, NaN]"
multigenerational_household,No,652,18991,3.43 [3.18-3.70],2.45 [2.15-2.77],2.87 [2.56-3.21],648,22072,2.94 [2.72-3.17],1.85 [1.59-2.13],1.86 [1.59-2.14],919,33523,2.74 [2.57-2.92],1.62 [1.41-1.83],1.81 [1.59-2.04],"-24.08 [-35.51, -12.65]","-35.54 [-45.64, -25.44]","-13.51 [-26.49, -0.54]","-2.69 [-15.59, 10.22]","-29.27 [-38.33, -20.21]","-37.28 [-46.69, -27.87]"
multigenerational_household,Yes,149,2962,5.03 [4.30-5.88],4.37 [3.49-5.39],5.40 [4.47-6.46],150,3234,4.64 [3.97-5.42],3.90 [3.09-4.84],4.66 [3.79-5.65],210,4909,4.28 [3.75-4.88],3.47 [2.83-4.19],4.34 [3.64-5.12],"-10.76 [-31.12, 9.61]","-13.70 [-31.11, 3.70]","-11.03 [-30.51, 8.46]","-6.87 [-24.46, 10.73]","-16.67 [-31.48, -1.85]","-19.63 [-35.37, -3.89]"
